UniqueID,Company,PurchaseOrderReceipt,PurchaseOrderReceiptLine,ReferenceNumber,PurchaseOrder,PurchaseOrderLine,Item,Description,ItemType,VendorItem,ShipToLocation,ProcessLevel,VendorPriceUOM,ReceivedUOM,EnteredReceivedQuantity,ReceivedUOMMultiplier,RejectedQuantity,OriginalReceivedQuantity,CatchWeightQuantity,OriginalUnitCost,MatchUnitCost,Bin,CancelBackorder,InspectionRequired,DetailsInBalance,Status,BuyerMessage,LastPurchaseOrderTransactionDetail,UpdateDate,ReceivedDate,Vendor,Invoice,Suffix,MSDSRequired,MSDSVersion,MSDSDocument,MatchedQuantity,MatchObjectID,MatchDetailKey,OpenToMatchQuantity,ArchivedQuantity,ArchivedWriteOffQuantity,VendorPriceUOMMultiplier,VendorPriceUOMQuantity,BuyUOMQuantity,VendorBuyUOM,VendorBuyUOMMultiplier,ChargebackQuantity,WriteOffQuantity,MatchSequence,TaxCode,TaxableUnitCost,ExtendedAmount,VendorReturn,VendorReturnLine,FullyDelivered,ReceivedAllocatedQuantity,TaxUsageCode,IntrastatNumber,ManufacturerID,ManufacturerNumber,ShipToFacility,CatchWeightCost,CommodityCode,ChargeQuantity,ProductTaxCategory,ItemGTIN,EAMOperationNumber,EAMSequenceNumber,EAMWorkOrderNumber,CreatedBy,LastUpdateDate,LastUpdateBy,GlobalLineType,IsCancelRemaining,StockUOMFlag,MultipleBins,InterfaceInProcess,OriginatingInterfaceRun,HSNSACCode,DAMAGED
0157c1d1-fdd2-0000-0005-23cc57e97174,1,1,1,,1,1,9,SCREW BN CANC TI FT 6.5 X 25,N,430107050,MAIN,1,EA,EA,10,1,0,10,0,35,35,,FALSE,FALSE,TRUE,1,FALSE,0,,11/29/2016,8,,0,FALSE,,,10,1,9,0,0,0,1,10,10,EA,1,0,0,1,,0,350,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0005-e87657e97174,1,2,1,,2,1,15,PORTABLE X-RAY MACHINE,N,,MAIN,1,EA,EA,1,1,0,1,0,12000,12000,,FALSE,FALSE,TRUE,1,FALSE,0,,12-03-2016,6,,0,FALSE,,,1,4,15,0,0,0,1,1,1,EA,1,0,0,1,,0,12000,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-25a857e97174,1,3,1,,3,1,16,XPS 15,N,XPS 15,MAIN,1,EA,EA,1,1,0,1,0,1249,1249,,FALSE,FALSE,TRUE,1,FALSE,0,,12-06-2016,3,,0,FALSE,,,1,5,16,0,0,0,1,1,1,EA,1,0,0,1,,0,1249,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-94ed57e97174,1,4,1,,4,1,MARQUE CURVED DOUBLE RECEPTION S,"Marque Curved Double Reception Station - 124.25""W x 49""D",X,MARQUE CURVED DOUBLE RECEPTION S,MAIN,1,EA,EA,1,1,0,1,0,1949,1949,,FALSE,FALSE,TRUE,1,FALSE,0,,12-08-2016,2,,0,FALSE,,,1,6,MARQUE CURVED DOUBLE RECEPTION S,0,0,0,1,1,1,EA,1,0,0,1,,0,1949,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-c47e57e97174,1,5,1,,6,1,6,SURFACE ART LPS-FLEX EF 3-4 10,N,596403210,MAIN,1,EA,EA,1,1,0,1,0,450,450,,TRUE,FALSE,TRUE,1,FALSE,0,,12/14/2016,8,,0,FALSE,,,1,11,6,0,0,0,1,1,1,EA,1,0,0,1,,0,450,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0157c1d1-fdd2-0000-0006-d3c157e97174,1,6,1,,7,1,OD-100,Chair,X,OD-100,MAIN,1,EA,EA,1,1,0,1,0,700,700,,TRUE,FALSE,TRUE,1,FALSE,0,,12/14/2016,2,,0,FALSE,,,0,0,OD-100,1,0,0,1,1,1,EA,1,0,0,0,,0,700,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
015909a5-49a3-0000-0000-1cb857e97174,1,7,1,,8,1,8,STEM FEMORAL SOLID LG 165,N,30455503000,MAIN,1,EA,EA,1,1,0,1,0,700,700,,TRUE,FALSE,TRUE,1,FALSE,0,,12/27/2016,8,,0,FALSE,,,0,0,8,1,0,0,1,1,1,EA,1,0,0,0,,0,700,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0159d7c6-878d-0000-0002-bc8f538f85a8,1,8,1,,9,1,6,SURFACE ART LPS-FLEX EF 3-4 10,N,596403210,MAIN,1,EA,EA,1,1,0,1,0,450,450,,TRUE,FALSE,TRUE,1,FALSE,0,,1/27/2017,8,,0,FALSE,,,1,16,6,0,0,0,1,1,1,EA,1,0,0,1,,0,450,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
0159d7c6-878d-0000-000b-f038538f85a8,1,9,1,,10,1,8,STEM FEMORAL SOLID LG 165,N,30455503000,MAIN,1,EA,EA,1,1,0,1,0,700,700,,TRUE,FALSE,TRUE,1,FALSE,0,,1/30/2017,8,,0,FALSE,,,0,0,8,1,0,0,1,1,1,EA,1,0,0,0,,0,700,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
015a0432-f6d4-0000-0000-76dd538f85a8,1,10,1,,12,1,6,SURFACE ART LPS-FLEX EF 3-4 10,N,596403210,MAIN,1,EA,EA,1,1,0,1,0,450,450,,TRUE,FALSE,TRUE,1,FALSE,0,,02-03-2017,8,,0,FALSE,,,1,7,6,0,0,0,1,1,1,EA,1,0,0,1,,0,450,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
015a0432-f6d4-0000-0000-76eb538f85a8,1,10,2,,12,2,10,SCREW BN CANC TI FT 6.5 X 30,N,430107040,MAIN,1,EA,EA,1,1,0,1,0,35,35,,TRUE,FALSE,TRUE,1,FALSE,0,,02-03-2017,8,,0,FALSE,,,1,7,10,0,0,0,1,1,1,EA,1,0,0,2,,0,35,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
015a1e3f-d262-0000-0006-e7b3538f85a8,1,11,1,,13,1,10,SCREW BN CANC TI FT 6.5 X 30,N,430107040,MAIN,1,EA,EA,1,1,0,1,0,35,35,,TRUE,FALSE,TRUE,1,FALSE,0,,02-09-2017,8,,0,FALSE,,,0,0,10,1,0,0,1,1,1,EA,1,0,0,0,,0,35,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
015aaba5-59cb-0000-0001-34c2538f85a8,1,12,1,,15,1,H7628,Mid Back Managerial Chair,X,H7628,MAIN,1,EA,EA,4,1,0,4,0,705,705,,FALSE,FALSE,TRUE,1,FALSE,0,,03-08-2017,2,,0,FALSE,,,4,8,H7628,0,0,0,1,4,4,EA,1,0,0,1,,0,2820,0,0,TRUE,0,,0,0,,,0,,0,,,0,0,0,,"Thursday, 11 May 2017 04:01:00.00 AM",inforhc1,,FALSE,FALSE,FALSE,FALSE,0,,FALSE
