UniqueID,Company,VendorReturn,VendorReturnLine,Vendor,ReturnNumberAlpha,ReferenceNumber,OriginalPurchaseOrder,OriginalPurchaseOrderLine,DocumentNumberNumeric,PurchaseOrderReceipt,Item,MatchDetailKey,Description,ItemType,ReturnQuantity,CancelQuantity,CatchWeightQuantity,DetailsInBalance,EnteredUOM,EnteredUOMMultiplier,VendorPriceUOM,VendorPriceUOMMultiplier,UnitCost,InspectionRequired,HSNSACCode,TaxCode,TaxUsageCode,LastDistributionSequence,LastPurchaseOrderTransactionDetail,Canceled,ICNCode,SupplementaryQuantity,StockWeight,IntrastatNumber,ReturnStockToInventoryOnVendorReturnCancel,VendorItem,Contract,ContractLine,ProductTaxCategory,ManufacturerContract,ItemGTIN,CreatedBy,LastUpdateDate,LastUpdateBy,GlobalLineType,ReplacementPurchaseOrderLine
015bd957-b312-0000-0002-d156538f85a8,1,1,1,1,1,,45,2,0,0,12,12,"GLOVE, EXAM NITRL PF BLU MED",I,2,0,0,FALSE,PR,1,PR,1,26.08,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,"GLOVE, EXAM NITRL PF BLU MED",0,0,,0,,inforhc1,"Monday, 08 May 2017 05:30:00.00 AM",,,0
015be985-3f33-0000-0005-4421538f85a8,1,3,1,8,3,,49,1,0,0,34,34,STEM HIP FITMORE  A SIZE 4.5,N,2,0,0,FALSE,EA,1,EA,1,1000,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-09,18,7,,0,,inforhc1,"Thursday, 11 May 2017 05:30:00.00 AM",,,0
015be985-3f33-0000-000b-23c3538f85a8,1,4,1,8,4,,51,1,0,0,26,26,STEM HIP FITMORE  A SIZE 3,N,4,0,0,FALSE,EA,1,EA,1,999,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,,0,0,,0,,inforhc1,"Wednesday, 17 May 2017 05:30:00.00 AM",,,0
015e3f1d-6f33-0000-0046-327a538f85a8,1,6,1,5,6,,523,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,10500,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,2,1,,0,,inforhc1,"Thursday, 21 September 2017 05:30:00.00 AM",,,0
015e3f1d-6f33-0000-0068-615b538f85a8,1,7,1,8,7,,86,1,0,0,8,8,STEM FEMORAL SOLID LG 165,N,1,0,0,FALSE,EA,1,EA,1,700,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,30455503000,0,0,,0,,inforhc3,"Sunday, 01 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-0011-6766538f85a8,1,8,1,5,8,,736,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,10500,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,2,1,,0,,inforhc2,"Wednesday, 11 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-0011-89d4538f85a8,1,9,1,5,9,,736,1,0,0,7,7,Pacemaker Kappa 7500,N,1,0,0,FALSE,EA,1,EA,1,10500,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,PK7500,2,1,,0,,inforhc2,"Wednesday, 11 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-0012-556f538f85a8,1,10,1,8,10,,740,1,0,0,29,29,STEM HIP FITMORE  A SIZE 6,N,1,0,0,FALSE,EA,1,EA,1,1350,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-05,18,3,,0,,inforhc3,"Wednesday, 11 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-001b-2105538f85a8,1,11,1,8,11,,777,1,0,0,25,25,STEM HIP FITMORE  A SIZE 2,N,1,0,0,FALSE,EA,1,EA,1,200,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-01,0,0,,0,,inforhc2,"Thursday, 12 October 2017 05:30:00.00 AM",,,0
015ef49e-b7c0-0000-001b-249e538f85a8,1,12,1,8,12,,777,1,0,0,25,25,STEM HIP FITMORE  A SIZE 2,N,1,0,0,FALSE,EA,1,EA,1,200,FALSE,,,,0,0,FALSE,,0,0,0,FALSE,ZIMM ORTHO-01,0,0,,0,,inforhc2,"Thursday, 12 October 2017 05:30:00.00 AM",,,0
