Vendor,PurchaseOrder,Item,Description,Quantity,CancelQuantity,QuantityDemandedFinal,EnteredReceivedQuantity,EarlyDeliveryDate,ReceivedDate,DeliveryTime,RemainingQuantity,PercentOfQuantityReceived,ReturnQuantity,PercentOfQuantityReturned
8,1,9,SCREW BN CANC TI FT 6.5 X 25,10.0,0.0,10.0,10,2016-11-29,2016-11-29,0,0.0,1.0,0.0,0.0
6,2,15,PORTABLE X-RAY MACHINE,1.0,0.0,1.0,1,2016-12-03,2016-12-03,0,0.0,1.0,0.0,0.0
3,3,16,XPS 15,1.0,0.0,1.0,1,2016-12-05,2016-12-06,-1,0.0,1.0,0.0,0.0
2,4,MARQUE CURVED DOUBLE RECEPTION S,"Marque Curved Double Reception Station - 124.25""W x 49""D",1.0,0.0,1.0,1,2016-12-08,2016-12-08,0,0.0,1.0,0.0,0.0
8,6,6,SURFACE ART LPS-FLEX EF 3-4 10,1.0,0.0,1.0,1,2016-12-16,2016-12-14,2,0.0,1.0,0.0,0.0
2,7,OD-100,Chair,1.0,0.0,1.0,1,2016-12-21,2016-12-14,7,0.0,1.0,0.0,0.0
8,8,8,STEM FEMORAL SOLID LG 165,1.0,0.0,1.0,1,2016-12-27,2016-12-27,0,0.0,1.0,0.0,0.0
8,9,6,SURFACE ART LPS-FLEX EF 3-4 10,1.0,0.0,1.0,1,2017-01-27,2017-01-27,0,0.0,1.0,0.0,0.0
8,10,8,STEM FEMORAL SOLID LG 165,1.0,0.0,1.0,1,2017-02-02,2017-01-30,3,0.0,1.0,0.0,0.0
8,12,6,SURFACE ART LPS-FLEX EF 3-4 10,1.0,0.0,1.0,1,2017-02-06,2017-02-03,3,0.0,1.0,0.0,0.0
8,12,10,SCREW BN CANC TI FT 6.5 X 30,1.0,0.0,1.0,1,2017-02-06,2017-02-03,3,0.0,1.0,0.0,0.0
8,13,10,SCREW BN CANC TI FT 6.5 X 30,1.0,0.0,1.0,1,2017-02-09,2017-02-09,0,0.0,1.0,0.0,0.0
2,15,H7628,Mid Back Managerial Chair,4.0,0.0,4.0,4,2016-02-10,2017-03-08,-392,0.0,1.0,0.0,0.0
2,21,OFFDESK,Office Desk,1.0,0.0,1.0,1,2017-04-18,2017-04-18,0,0.0,1.0,0.0,0.0
1,20,12,"GLOVE, EXAM NITRL PF BLU MED",10.0,0.0,10.0,10,2017-04-19,2017-04-18,1,0.0,1.0,0.0,0.0
1,20,2,TAPE TRANSPORE SURG 1X10 YDS,5.0,0.0,5.0,5,2017-04-19,2017-04-18,1,0.0,1.0,0.0,0.0
1,22,6,SURFACE ART LPS-FLEX EF 3-4 10,1.0,0.0,1.0,1,2017-04-18,2017-04-18,0,0.0,1.0,0.0,0.0
1,33,21,Urine and Stool Collection Pan,1.0,0.0,1.0,1,2017-04-24,2017-04-24,0,0.0,1.0,0.0,0.0
1,32,1,GLOVES EXAM LG PF,10.0,0.0,10.0,10,2017-04-24,2017-04-25,-1,0.0,1.0,0.0,0.0
8,39,6,SURFACE ART LPS-FLEX EF 3-4 10,2.0,0.0,2.0,2,2017-04-27,2017-04-27,0,0.0,1.0,0.0,0.0
1,44,1,GLOVES EXAM LG PF,10.0,0.0,10.0,10,2017-05-01,2017-05-02,-1,0.0,1.0,0.0,0.0
1,44,2,TAPE TRANSPORE SURG 1X10 YDS,100.0,0.0,100.0,100,2017-05-01,2017-05-02,-1,0.0,1.0,0.0,0.0
1,44,3,"STERI-STRIP 1/4"" X 3"" WHITE",100.0,0.0,100.0,100,2017-05-01,2017-05-02,-1,0.0,1.0,0.0,0.0
1,44,4,"NEEDLE 27G X 1/2""",1000.0,0.0,1000.0,1000,2017-05-01,2017-05-02,-1,0.0,1.0,0.0,0.0
1,45,21,URINE AND STOOL COLLECTION PAN,1.0,0.0,1.0,1,2017-05-08,2017-05-08,0,0.0,1.0,0.0,0.0
1,45,12,"GLOVE, EXAM NITRL PF BLU MED",4.0,0.0,4.0,4,2017-05-08,2017-05-08,0,0.0,1.0,2.0,0.5
8,49,34,STEM HIP FITMORE  A SIZE 4.5,3.0,0.0,3.0,3,2017-05-18,2017-05-09,9,0.0,1.0,2.0,0.6666666666666666
8,48,ZIM 113,SPECIAL 3,3.0,0.0,3.0,3,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,47,1,SPECIAL 1,3.0,0.0,3.0,3,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,50,28,STEM HIP FITMORE  A SIZE 5,2.0,0.0,2.0,2,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,50,29,STEM HIP FITMORE  A SIZE 6,4.0,0.0,4.0,4,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,50,31,STEM HIP FITMORE  A SIZE 7,4.0,0.0,4.0,4,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,50,32,STEM HIP FITMORE  A SIZE 8,4.0,0.0,4.0,4,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,51,26,STEM HIP FITMORE  A SIZE 3,4.0,0.0,4.0,4,2017-05-18,2017-05-09,9,0.0,1.0,4.0,1.0
8,51,27,STEM HIP FITMORE  A SIZE 4,4.0,0.0,4.0,4,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,51,32,STEM HIP FITMORE  A SIZE 8,4.0,0.0,4.0,4,2017-05-18,2017-05-09,9,0.0,1.0,0.0,0.0
8,42,8,STEM FEMORAL SOLID LG 165,10.0,0.0,10.0,10,2017-05-05,2017-05-10,-5,0.0,1.0,0.0,0.0
8,42,9,SCREW BN CANC TI FT 6.5 X 25,1.0,0.0,1.0,1,2017-05-05,2017-05-10,-5,0.0,1.0,0.0,0.0
8,42,10,SCREW BN CANC TI FT 6.5 X 30,1100.0,0.0,1100.0,1100,2017-05-05,2017-05-10,-5,0.0,1.0,0.0,0.0
8,42,11,SCREW BN CANC TI FT 6.5 X 40,120.0,0.0,120.0,120,2017-05-05,2017-05-10,-5,0.0,1.0,0.0,0.0
8,59,35,STEM HIP FITMORE  A SIZE 7.5,10.0,0.0,10.0,10,2017-05-19,2017-05-17,2,0.0,1.0,0.0,0.0
8,62,ZIM 11001,STEM HIP FITMORE A SIZE 9,1.0,0.0,1.0,1,2017-05-17,2017-05-17,0,0.0,1.0,0.0,0.0
1,64,1,GLOVES EXAM LG PF,5.0,0.0,5.0,5,2017-05-26,2017-05-24,2,0.0,1.0,0.0,0.0
5,66,38,STEM HIP FITMORE  A SIZE 4,1.0,0.0,1.0,1,2017-05-24,2017-05-24,0,0.0,1.0,0.0,0.0
5,66,27,STEM HIP FITMORE  A SIZE 4,1.0,0.0,1.0,1,2017-05-24,2017-05-24,0,0.0,1.0,0.0,0.0
1005,76,SPRINT 1,gloves,1.0,0.0,1.0,1,2017-05-30,2017-05-30,0,0.0,1.0,0.0,0.0
1006,77,VGLOVE,gloves,1.0,0.0,1.0,1,2017-05-30,2017-05-30,0,0.0,1.0,0.0,0.0
8,85,8,STEM FEMORAL SOLID LG 165,1.0,0.0,1.0,1,2017-06-13,2017-06-13,0,0.0,1.0,0.0,0.0
